,genus,date,cells_per_ml
294,UBA1494_A,20190402,3209.7345415535383
295,UBA1611,20190402,124.89470438127537
296,UBA1994,20190402,19333.494520899592
297,UBA1997,20190402,238.28986266653226
298,UBA2040,20190402,2403.607007564498
299,UBA2970,20190402,59.62375411828036
300,UBA3031,20190402,1685.8949774432606
301,UBA3537,20190402,957.7569711052253
302,UBA4421,20190402,3462.3695349667987
303,UBA4441,20190402,2433.9461640775917
304,UBA4465,20190402,4163.09507976134
305,UBA4466,20190402,2222.177673785279
306,UBA4479,20190402,1406.9881152226176
307,UBA4575,20190402,2455.1343661045153
308,UBA4582,20190402,13196.613853477473
309,UBA4588,20190402,1138.5801010715759
310,UBA5081,20190402,599.6227969668873
311,UBA5109,20190402,422.9896980995269
312,UBA5951,20190402,623.3431619065549
313,UBA6669,20190402,53.79037166292709
314,UBA6770,20190402,3638.104506893872
315,UBA6772,20190402,354.6609803937225
316,UBA7326,20190402,764.3049791865013
317,UBA7428,20190402,32157.29634708993
318,UBA7434,20190402,2060.334703412612
319,UBA7446,20190402,258.1328111341188
320,UBA8337,20190402,515.6751403467454
321,UBA8649,20190402,471.9853622715322
322,UBA868,20190402,496.6502787747873
323,UBA8752,20190402,1435.7621564357544
324,UBA9145,20190402,2950.047797103136
325,UBA9320,20190402,19802.265579196108
326,UBA952,20190402,2050.601755816292
327,UBA985,20190402,472.6399583458521
328,UBA9926,20190402,5845.408642998611
329,Ulvibacter,20190402,2183.668183672048
330,Unclassified,20190402,163932.44841632538
331,Verrucomicrobiales,20190402,54.17968603713088
332,Vibrio,20190402,533.7746528936223
333,Vicingaceae,20190402,7151.270317648077
334,Winogradskyella,20190402,10605.99411070025
335,Yoonia,20190402,12937.313879281543
336,AAA164-E04,20190709,857.6769062532678
337,AAA536-G10,20190709,17721.566150931587
338,AG-337-I02,20190709,1002.7564551206717
339,AG-414-E02,20190709,128.2860017500333
340,AG-422-B15,20190709,6736.371699275021
341,ASP10-02a,20190709,9702.649619073323
342,Akkermansiaceae,20190709,5735.164321152904
343,Algibacter_B,20190709,5058.40379347222
344,Aliiglaciecola,20190709,698.0430802651756
345,Amylibacter,20190709,48835.365751825986
346,Aquiluna,20190709,33069.08045400389
347,Arcobacteraceae,20190709,724.8264620571283
348,Arctic95D-9,20190709,6550.656635410783
349,Arenitalea,20190709,158.25162412833802
350,Ascidiaceihabitans,20190709,4500.707576936185
351,BACL11,20190709,630.8020911106321
352,BACL14,20190709,58768.06138498093
353,CAU-1491,20190709,8171.333221442257
354,CPC320,20190709,8349.730949847935
355,D2472,20190709,43039.21531545923
356,DEV007,20190709,790.1193135553598
357,Draconibacterium,20190709,1099.8995724074273
358,EC70,20190709,705.3338563323215
359,Flavobacteriaceae,20190709,17140.29261737809
360,Flavobacteriales,20190709,6124.05664546211
361,GCA-002712045,20190709,1336.444452642067
362,GCA-002715885,20190709,2338.972825248465
363,GCA-002716945,20190709,681.3063485910295
364,GCA-002724395,20190709,569.9206866533735
365,GCA-002733185,20190709,46848.10722309678
366,GCA-2683775,20190709,2699.395334982807
367,GCA-2684605,20190709,1798.252903007732
368,GCA-2698665,20190709,6401.396662650273
369,GCA-2705205,20190709,16391.053124207512
370,GCA-2705445,20190709,3448.597965682835
371,GCA-2707915,20190709,724.1399806225219
372,GCA-2717185,20190709,501.57336931597166
373,GCA-2721545,20190709,1596.0769561104294
374,GCA-2722105,20190709,232.40716576394226
375,GCA-2726415,20190709,418.2511194264255
376,GCA-2746235,20190709,290.7215256885036
377,GCA-2862585,20190709,24418.932721400543
378,Glaciecola,20190709,1734.937029975615
379,HC6-5,20190709,22698.028626955438
380,HIMB114,20190709,557.2222942943505
381,HIMB59,20190709,4377.189321344834
382,HTCC2207,20190709,77341.94166251633
383,Hel1-33-131,20190709,110140.32742833572
384,Hellea,20190709,47036.2022220808
385,IMCC9063,20190709,28498.338453056484
386,LFER01,20190709,3370.691016697589
387,Litoricola,20190709,7204.546780040262
388,Luminiphilus,20190709,40446.59453481653
389,MAG-120531,20190709,43764.0249218128
390,MAG-121220-bin8,20190709,64220.50329890018
391,MB11C04,20190709,12858.017022163862
